Differential gene expression between Xiloá (positive log2FoldChange) and Apoyo (negative log2FoldChange) ;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;
MSTRG.37220;204.523.662.356.416;-174.573.423.396.568;0.221642677670531;-787.634.517.103.557;3,37E-01;1,98E+02;Fc receptor-like protein 1; High affinity immunoglobulin epsilon receptor subunit alpha; Putative high affinity immunoglobulin gamma Fc receptor IB; Low affinity immunoglobulin gamma Fc region receptor III; Low affinity immunoglobulin gamma Fc region receptor II;;;;;
MSTRG.41230;54.294.806.149.177;-181.801.878.238.217;0.255789266198789;-7.107.486.601.761;1,18E+02;3,93E+04;Tumor necrosis factor ligand superfamily member 15; Tumor necrosis factor ligand superfamily member 14;;;;;;;;
MSTRG.37270;867.234.348.870.696;-182.338.772.046.939;0.265038544855186;-687.970.770.993.204;6,00E+02;1,51E+05;Fc receptor-like B;;;;;;;;;
MSTRG.55415;379.007.705.171.351;37.031.433.008.441;0.575671602611251;643.273.575.428.527;1,25E+04;1,87E+06;NACHT, LRR and PYD domains-containing protein 10; Ribonuclease inhibitor; NACHT, LRR and PYD domains-containing protein 6 {ECO:0000305}; NLR family CARD domain-containing protein 3; E3 ubiquitin-protein ligase Midline-1;;;;;
MSTRG.38188;11.077.278.722.734;-211.623.901.274.443;0.334772677487337;-632.142.093.741.947;2,59E+04;3,31E+06;;;;;;;;;;
MSTRG.47740;262.835.470.160.617;-209.547.977.257.349;0.333438810105592;-628.445.072.698.616;3,29E+04;4,06E+06;C-C chemokine receptor type 7;;;;;;;;;
MSTRG.32834;175.952.714.628.592;-473.265.910.829.631;0.758629092396936;-623.843.608.916.075;4,42E+04;5,16E+06;NACHT, LRR and PYD domains-containing protein 12; Protein NLRC3; Ribonuclease inhibitor; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 3;;;;;
MSTRG.37298;222.788.968.629.594;-146.985.784.928.682;0.24018071329176;-611.979.966.726.682;9,37E+04;9,87E+06;;;;;;;;;;
MSTRG.17379;984.114.658.828.966;-130.152.195.003.381;0.223078601213352;-583.436.485.146.791;5,40E+05;4,10E+06;G-protein coupled receptor 183;;;;;;;;;
MSTRG.16502;103.752.721.003.643;-160.663.530.426.901;0.27843226532916;-577.029.139.338.308;7,91E+05;5,81E+06;Kallikrein-8; Granzyme B; Prostate-specific antigen;;;;;;;
MSTRG.38195;541.466.270.084.087;-175.309.313.575.879;0.32893270123821;-532.964.077.198.642;9,84E+05;4,62E+08;;;;;;;;;;
MSTRG.22154;572.734.658.854.208;-130.124.173.236.437;0.255523705099034;-509.245.015.784.365;3,53E+07;1,34E+09;Tyrosine-protein kinase SRK3; Tyrosine-protein kinase Blk; Proto-oncogene tyrosine-protein kinase LCK;;;;;;;
MSTRG.36898;852.275.453.768.065;-13.022.594.096.652;0.259623471347557;-501.595.407.728.705;5,28E+07;1,85E+08;;;;;;;;;;
MSTRG.23725;83.650.004.475.496;11.876.688.622.763;0.263027995383636;45.153.705.427.593;6,32E+08;0.000141993502436984;Mitogen-activated protein kinase-binding protein 1; Nuclear distribution protein PAC1 {ECO:0000255|HAMAP-Rule:MF_03141};;;;;;;;
