Differential gene expression between papilliform (positive log2FoldChange) and molariform (negative log2FoldChange) jaw morphotypes within CL Apoyo;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;
MSTRG.53780;579.708.312.269.064;-4.880.103.670.723;0.550990986803918;-885.695.735.066.478;8,22E-05;7,13E-01;Immunoglobulin kappa constant {ECO:0000250|UniProtKB:P01834}; Immunoglobulin lambda-1 light chain {ECO:0000305};;;;;;;;
MSTRG.41585;313.967.052.867.338;352.018.325.843.137;0.433208282833581;812.584.476.780.114;4,44E-02;1,93E+02;DLA class II histocompatibility antigen, DR-1 beta chain; H-2 class II histocompatibility antigen, A-S beta chain;;;;;;;;
MSTRG.29983;226.782.669.925.679;390.309.028.373.998;0.511562696395997;762.973.983.685.203;2,35E-01;4,53E+03;Interferon regulatory factor 7; Interferon regulatory factor 5 {ECO:0000250|UniProtKB:Q13568};;;;;;;;
MSTRG.27546;139.049.794.668.265;260.893.831.884.857;0.352178817850157;740.799.328.811.026;1,28E+01;1,85E+04;Tumor necrosis factor receptor superfamily member 1B; Tumor necrosis factor receptor superfamily member 1A; Tumor necrosis factor receptor superfamily member 23;;;;;;;
MSTRG.15180;170.342.555.957.851;-543.282.244.587.988;0.73587165708691;-738.283.964.813.479;1,55E+01;2,01E+04;Vascular endothelial growth factor A-A; Placenta growth factor; Vascular endothelial growth factor A;;;;;;;
MSTRG.33649;364.202.916.059.223;192.969.760.157.201;0.276973230580221;696.709.063.734.991;3,24E+02;3,12E+05;B- and T-lymphocyte attenuator {ECO:0000303|PubMed:14652006};;;;;;;;;
MSTRG.3438;354.065.972.747.465;340.439.567.203.879;0.49325844507208;690.184.974.236.235;5,13E+02;4,24E+05;Transcription factor 7-like 2; Transcription factor 7; Lymphoid enhancer-binding factor 1;;;;;;;
MSTRG.45548;158.126.857.707.744;-220.963.779.721.963;0.322497718401346;-685.163.854.235.318;7,30E+02;5,50E+05;Homeobox protein Nkx-2.3;;;;;;;;;
MSTRG.6135;186.343.090.416.671;455.670.909.308.736;0.683530150643878;666.643.466.830.978;2,62E+03;1,47E+06;Probable nuclear hormone receptor HR38; Nuclear receptor subfamily 4 group A member 3;;;;;;;;
MSTRG.6416;510.688.720.971.857;-132.382.721.830.455;0.200771153113065;-659.371.228.275.524;4,29E+03;2,12E+06;Tyrosine-protein phosphatase non-receptor type 6;;;;;;;;;
MSTRG.37777;193.283.562.855.408;235.883.379.632.517;0.359748464573816;655.689.746.756.701;5,49E+03;2,63E+06;Tyrosine-protein kinase Src42A; Tyrosine-protein kinase Tec;;;;;;;;
MSTRG.1967;400.914.266.569.853;216.451.819.817.665;344.761.299.076.416;627.830.967.099.611;3,42E+03;1,32E+07;Butyrophilin-like protein 2; CD226 antigen;;;;;;;;
MSTRG.6535;50.525.507.955.469;259.343.551.697.052;0.413456009341362;627.257.908.550.388;3,55E+03;1,34E+07;E3 ubiquitin-protein ligase CBL-B-B; Transforming protein cbl; E3 ubiquitin-protein ligase CBL-C; E3 ubiquitin-protein ligase CBL;;;;;;
MSTRG.23423;30.802.809.807.581;248.900.221.928.813;0.400758429966505;621.072.953.972.834;5,27E+04;1,82E+07;B-cell lymphoma/leukemia 11B;;;;;;;;;
MSTRG.27674;253.949.181.419.762;276.021.867.680.105;0.449175927870936;61.450.725.774.293;7,99E+04;2,61E+07;NACHT, LRR and PYD domains-containing protein 3 {ECO:0000305}; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 3;;;;;;;
MSTRG.44042;167.439.556.542.865;181.853.627.629.286;0.298608424907164;609.003.673.241.381;1,13E+05;3,49E+07;Protein kinase C delta type {ECO:0000305}; Protein kinase C delta type;;;;;;;;
MSTRG.20214;374.175.819.569.436;181.753.973.665.982;0.298582248898334;608.723.306.012.301;1,15E+05;3,49E+07;Muscle-specific protein 20; Guanine nucleotide exchange factor VAV3; GRB2-related adapter protein;;;;;;;
MSTRG.35007;331.046.284.938.755;587.526.485.592.535;0.971485771245726;604.771.066.115.725;1,47E+05;4,32E+07;cAMP-specific 3',5'-cyclic phosphodiesterase 4B;;;;;;;;;
MSTRG.35598;99.879.885.130.994;-279.067.858.226.386;0.46779368236215;-596.561.836.442.975;2,44E+05;6,60E+07;Lipoprotein lipase;;;;;;;;;
MSTRG.22154;101.254.336.570.775;182.860.432.752.234;0.307581630640156;59.451.025.203.181;2,76E+05;7,26E+07;Tyrosine-protein kinase SRK3; Tyrosine-protein kinase Blk; Proto-oncogene tyrosine-protein kinase LCK;;;;;;;
MSTRG.30557;659.499.213.826.071;400.563.217.513.924;0.675632039745238;592.871.850.282.538;3,05E+05;7,78E+07;H-2 class I histocompatibility antigen, K-K alpha chain; H-2 class I histocompatibility antigen, Q9 alpha chain; Major histocompatibility complex class I-related gene protein;;;;;;;
MSTRG.38967;135.130.231.611.994;165.363.922.551.565;0.279073970217848;592.545.132.111.316;3,11E+05;7,83E+07;Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2; DCC-interacting protein 13-beta {ECO:0000305}; Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1;;;;;;;
MSTRG.43389;422.989.822.547.177;179.719.945.069.487;0.313967828375082;572.415.161.131.681;1,04E+06;2,07E+08;Nuclear factor of activated T-cells, cytoplasmic 2;;;;;;;;;
MSTRG.55931;12.332.015.990.325;74.389.409.508.845;13.105.881.194.464;567.603.264.557.805;1,38E+06;2,61E+08;NACHT, LRR and PYD domains-containing protein 12; Transposable element Tc3 transposase; NLR family CARD domain-containing protein 3; E3 ubiquitin-protein ligase TRIM41 {ECO:0000305}; Tripartite motif-containing protein 16-like protein;;;;;
MSTRG.30560;419.962.452.887.098;344.138.708.963.796;0.606403459763518;567.507.825.727.118;1,39E+06;2,61E+08;Class I histocompatibility antigen, F10 alpha chain; H-2 class I histocompatibility antigen, D-K alpha chain; Major histocompatibility complex class I-related gene protein;;;;;;;
MSTRG.995;235.938.171.400.772;574.717.024.098.419;101.361.427.173.424;566.997.762.487.213;1,43E+06;2,66E+08;Disintegrin and metalloproteinase domain-containing protein 10;;;;;;;;;
MSTRG.54678;141.244.039.164.671;194.013.173.879.666;0.342864037874537;565.860.377.432.352;1,53E+05;2,76E+08;Rano class II histocompatibility antigen, A beta chain;;;;;;;;;
MSTRG.15536;842.261.271.314.229;164.610.853.095.346;0.291336838379184;56.501.901.376.818;1,60E+06;2,78E+08;Tyrosine-protein kinase Fyn;;;;;;;;;
MSTRG.13270;246.388.849.191.655;162.580.794.169.862;0.292932259001557;555.011.574.088.868;2,85E+06;4,34E+08;Dedicator of cytokinesis protein 10 {ECO:0000305}; Dedicator of cytokinesis protein 9;;;;;;;;
MSTRG.40781;700.232.817.559.625;2.295.640.999.669;0.414041046399914;554.447.685.713.673;2,95E+06;4,45E+08;Perforin-1;;;;;;;;;
MSTRG.32946;2.606.508.296.878;334.795.860.749.621;0.618174866720115;541.587.629.607.083;6,10E+06;8,00E+08;Nucleotide-binding oligomerization domain-containing protein 1;;;;;;;;;
MSTRG.16359;192.900.042.701.463;389.563.440.924.151;0.722800104349325;538.964.284.288.312;7,06E+06;8,93E+08;Protein mono-ADP-ribosyltransferase PARP14 {ECO:0000305};;;;;;;;;
MSTRG.41863;244.997.980.683.894;183.124.738.999.774;0.342459603564479;534.733.840.411.327;8,93E+05;1,05E+09;Mitogen-activated protein kinase 1 {ECO:0000305};;;;;;;;;
MSTRG.28368;204.018.204.316.661;268.723.306.542.984;0.505262789523153;53.184.859.862.052;1,05E+07;1,20E+09;Zinc finger protein 609 {ECO:0000312|HGNC:HGNC:29003}; Zinc finger protein 609;;;;;;;;
MSTRG.34437;290.408.656.955.386;143.655.825.632.875;0.273614561166022;525.029.899.800.211;1,52E+07;1,68E+09;Zinc finger protein Gfi-1; Zinc finger protein 239; Ecotropic viral integration site 5 protein homolog; Ecotropic viral integration site 5 protein; EVI5-like protein;;;;;
MSTRG.38648;611.798.680.204.945;-339.279.682.740.839;0.650211285682831;-521.799.129.316.155;1,81E+07;1,91E+09;Interleukin-8;;;;;;;;;
MSTRG.56275;626.250.493.747.459;307.284.373.078.651;0.590078659649211;520.751.543.974.365;1,91E+07;1,99E+09;CD48 antigen;;;;;;;;;
MSTRG.32407;336.256.054.457.882;365.545.404.797.468;0.707540890031187;516.642.090.863.971;2,39E+07;2,34E+08;C-type lectin domain family 4 member A {ECO:0000305}; H-2 class I histocompatibility antigen, alpha chain; H-2 class I histocompatibility antigen, D-37 alpha chain; Major histocompatibility complex class I-related gene protein; Lactose-binding lectin l-2; H-2 class I histocompatibility antigen, L-D alpha chain;;;;
MSTRG.45199;170.819.731.380.532;165.147.432.610.661;0.320670039889507;515.007.366.037.582;2,60E+07;2,47E+09;DDB1- and CUL4-associated factor 1 {ECO:0000312|HGNC:HGNC:30911}; DDB1- and CUL4-associated factor 1 {ECO:0000250|UniProtKB:Q9Y4B6};;;;;;;;
MSTRG.27082;228.498.904.285.076;427.183.441.733.377;0.833750112478195;512.363.878.984.843;3,00E+07;2,79E+09;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1; 1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 {ECO:0000305};;;;;;;;
MSTRG.6405;580.724.118.729.428;326.081.393.094.267;0.637485721583922;511.511.681.052.357;3,14E+07;2,85E+09;Lymphocyte activation gene 3 protein; Lymphocyte activation gene 3 protein {ECO:0000303|PubMed:8921170};;;;;;;;
MSTRG.15275;504.491.704.189.326;206.044.330.853.714;0.403453373715682;510.701.717.415.593;3,27E+07;2,92E+09;;;;;;;;;;
MSTRG.2096;591.954.636.873.433;250.694.306.419.665;0.498924764240725;502.469.158.453.534;5,04E+07;4,01E+09;Nuclear receptor ROR-alpha A; Nuclear receptor ROR-alpha B; Thyroid hormone receptor alpha; Nuclear receptor ROR-alpha;;;;;;
MSTRG.41230;114.069.011.205.419;170.473.135.273.635;0.342830284218041;49.725.226.481.221;6,61E+07;4,92E+09;Tumor necrosis factor ligand superfamily member 15; Tumor necrosis factor ligand superfamily member 14;;;;;;;;
MSTRG.23245;627.855.276.147.353;-210.141.148.216.606;0.425122486546393;-494.307.299.347.416;7,69E+07;5,56E+07;Perlucin-like protein {ECO:0000303|PubMed:21643827}; Asialoglycoprotein receptor 2; C-type lectin domain family 4 member M; CD209 antigen; C-type lectin domain family 4 member E; C-type lectin domain family 4 member G; CD209 antigen-like protein E; Asialoglycoprotein receptor 1;;
MSTRG.47262;8.147.388.233.449;237.089.293.411.981;0.481253298096451;492.649.700.998.961;8,37E+06;5,96E+09;DENN domain-containing protein 1C; DENN domain-containing protein 1B {ECO:0000312|HGNC:HGNC:28404};;;;;;;;
MSTRG.52750;49.718.248.909.299;255.464.751.828.801;0.519320291379927;491.921.375.053.506;8,69E+07;6,15E+09;Interferon regulatory factor 8 {ECO:0000305};;;;;;;;;
MSTRG.38403;697.102.437.951.912;20.647.046.009.722;0.420183363689236;491.381.805.991.549;8,93E+07;6,26E+09;Caspase recruitment domain-containing protein 8 {ECO:0000305}; Sterile alpha motif domain-containing protein 9-like;;;;;;;;
MSTRG.38460;108.560.461.176.668;255.710.798.630.109;0.522663945668906;489.245.146.425.492;9,96E+07;6,75E+08;GTPase IMAP family member 1; GTPase IMAP family member 7; Protein mono-ADP-ribosyltransferase PARP15 {ECO:0000305}; Tripartite motif-containing protein 16;;;;;;
MSTRG.7548;639.713.363.545.155;719.006.008.542.926;148.103.877.513.358;485.474.128.439.397;1,21E+08;7,86E+09;;;;;;;;;;
MSTRG.13421;240.720.504.600.754;-275.821.445.412.608;0.56964741947651;-484.196.778.537.293;1,29E+08;8,32E+08;High affinity immunoglobulin gamma Fc receptor I; Fc receptor-like protein 4; High affinity immunoglobulin epsilon receptor subunit alpha;;;;;;;
MSTRG.16882;339.975.211.088.506;164.764.957.849.538;0.342282676696656;481.371.010.182.789;1,48E+08;9,17E+09;STE20/SPS1-related proline-alanine-rich protein kinase;;;;;;;;;
MSTRG.42445;25.256.576.595.452;273.485.786.881.442;0.569033228948744;480.614.791.840.349;1,54E+08;9,44E+09;Natural cytotoxicity triggering receptor 1; Leukocyte immunoglobulin-like receptor subfamily A member 2;;;;;;;;
MSTRG.9883;905.678.057.515.643;31.075.479.474.855;0.652803004523708;476.031.501.992.366;1,93E+08;0.000110969527577792;mRNA decay activator protein ZFP36L2-B {ECO:0000305};;;;;;;;;
MSTRG.5562;978.771.652.132.551;413.249.076.912.978;0.868887557193982;475.607.083.438.437;1,97E+08;0.000112952910632467;Catenin beta-1;;;;;;;;;
MSTRG.17435;191.062.442.746.199;190.844.218.179.272;0.404151407325607;472.209.708.342.095;2,33E+08;0.000128480196333471;Integrin alpha-4;;;;;;;;;
MSTRG.29843;406.985.920.015.363;366.542.719.425.478;0.776656015065147;471.949.888.129.987;2,36E+08;0.000129720252897144;Serine/threonine-protein kinase WNK1 {ECO:0000305};;;;;;;;;
MSTRG.36848;713.267.537.508.873;264.975.396.959.337;0.561969556866484;4.715.120.129.226;2,42E+08;0.000132123317304629;Low affinity immunoglobulin gamma Fc region receptor III;;;;;;;;;
MSTRG.53480;114.106.403.026.762;227.150.825.741.324;0.481861987997071;471.402.250.850.932;2,43E+07;0.000132419693053881;Apoptosis regulator Bcl-2;;;;;;;;;
MSTRG.9990;171.556.651.237.976;356.049.131.930.899;0.759429276736233;468.837.774.415.383;2,75E+08;0.000143379195076798;Insulin-degrading enzyme; Insulin-degrading enzyme {ECO:0000303|PubMed:20364150};;;;;;;;
MSTRG.22769;484.383.854.701.766;-388.261.495.955.795;0.828655908676348;-468.543.688.508.761;2,79E+08;0.000143727070329148;Interleukin-27 subunit beta;;;;;;;;;
MSTRG.44729;208.496.226.638.172;-110.430.638.637.759;0.238843675825871;-462.355.296.852.273;3,77E+08;0.000180173037183911;Bactericidal permeability-increasing protein;;;;;;;;;
MSTRG.3992;341.990.358.558.102;-269.125.454.206.077;0.586046449407142;-459.222.053.948.677;4,39E+08;0.00020330638925534;Arachidonate 5-lipoxygenase-activating protein;;;;;;;;;
