Differential gene expression between Managua (positive log2FoldChange) and Nicaragua (negative log2FoldChange) ;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;
MSTRG.5944;307.828.548.334.588;-39.751.747.145.112;0.563254264295325;-705.751.374.911.373;1,70E+02;8,38E+04;C3a anaphylatoxin chemotactic receptor;;;;;;;
MSTRG.1222;176.819.105.562.961;-116.507.656.427.404;0.173858136549663;-67.013.059.463.066;2,07E+03;7,52E+05;Transcription factor PU.1;;;;;;;
MSTRG.23685;562.528.524.534.943;-234.160.999.416.256;0.368831589602079;-634.872.407.943.377;2,17E+04;5,78E+06;Lysyl oxidase homolog 3B {ECO:0000305}; CD5 antigen-like; Protein-lysine 6-oxidase {ECO:0000250|UniProtKB:P28300};;;;;
MSTRG.47740;285.165.983.723.576;-199.564.441.682.068;0.342290762268081;-583.026.080.983.658;5,53E+04;8,94E+07;C-C chemokine receptor type 7;;;;;;;
MSTRG.48545;392.181.700.456.358;-107.180.690.398.036;0.184366612408135;-581.345.445.349.775;6,12E+05;9,55E+07;Mothers against decapentaplegic homolog 7;;;;;;;
MSTRG.26513;240.319.095.852.296;-0.640969663162382;0.110343184631562;-580.887.406.234.101;6,29E+05;9,75E+07;Mitochondrial ubiquitin ligase activator of NFKB 1;;;;;;;
MSTRG.41620;323.502.012.305.212;241.693.669.910.043;0.425068897019938;568.598.812.109.055;1,30E+06;1,69E+08;Poly(rC)-binding protein 2; Far upstream element-binding protein 2;;;;;;
MSTRG.31342;94.767.759.926.664;211.989.322.818.871;0.37417599255454;566.549.770.795.281;1,47E+05;1,86E+08;Cyclic AMP-dependent transcription factor ATF-2;;;;;;;
MSTRG.46033;236.276.693.215.856;113.852.652.829.344;0.20927646420696;544.029.894.908.542;5,32E+06;5,39E+08;Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe;;;;;;;
MSTRG.9087;292.305.498.346.042;24.257.342.993.198;0.453260024483168;535.174.991.901.339;8,71E+06;7,90E+08;Prostaglandin E2 receptor EP4 subtype;;;;;;;
MSTRG.6514;312.731.031.558.528;-173.215.872.390.856;0.329619406589758;-525.502.652.234.428;1,48E+07;1,23E+09;C-C chemokine receptor type 9; C-X-C chemokine receptor type 3-2 {ECO:0000305};;;;;;
MSTRG.14662;123.169.109.736.493;0.952317738466947;0.182058250818061;523.084.086.652.376;1,69E+07;1,34E+09;Rho-related GTP-binding protein RhoB; Pumilio homolog 2; Pumilio homolog 2 {ECO:0000305};;;;;
MSTRG.6598;163.869.981.378.675;-159.779.639.842.848;0.305813851043656;-522.473.522.038.212;1,74E+07;1,37E+09;Endoribonuclease ZC3H12A {ECO:0000305};;;;;;;
MSTRG.7735;150.437.039.910.478;-167.212.426.211.247;0.324688502606403;-514.993.370.165.455;2,61E+07;1,93E+09;4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5 {ECO:0000250|UniProtKB:Q11128}; Alpha-(1,3)-fucosyltransferase 7 {ECO:0000305};;;;;;
MSTRG.18623;13.851.946.009.616;0.948182340445786;0.185516639511496;511.103.663.230.719;3,20E+07;2,29E+09;Ubiquitin carboxyl-terminal hydrolase 15;;;;;;;
MSTRG.5534;267.306.913.904.647;-144.670.275.664.974;0.283763028496976;-509.827.782.820.255;3,43E+07;2,44E+09;Cell adhesion molecule 4; Carcinoembryonic antigen-related cell adhesion molecule 6; Cell surface A33 antigen; B-cell receptor CD22 {ECO:0000250|UniProtKB:P20273};;;;
MSTRG.26768;449.801.138.206.418;-0.667900469289737;0.135863763140858;-491.595.738.149.316;8,83E+07;5,26E+07;Protein ILRUN {ECO:0000305}; Transcription initiation factor TFIID subunit 11;;;;;;
MSTRG.7593;749.249.052.902.999;-184.322.910.883.392;0.376923136413604;-489.019.890.466.824;1,01E+08;5,76E+09;GTPase IMAP family member 9; GTPase IMAP family member 1; GTPase IMAP family member 4; GTPase IMAP family member 5;;;;
MSTRG.38498;360.280.294.387.633;-119.547.248.128.723;0.246755347463858;-484.476.828.394.704;1,27E+08;6,96E+09;Fc receptor-like protein 5; Low affinity immunoglobulin gamma Fc region receptor II; Low affinity immunoglobulin gamma Fc region receptor III; Carcinoembryonic antigen-related cell adhesion molecule 1 {ECO:0000250|UniProtKB:P13688};;;;
MSTRG.21211;619.505.291.940.903;132.478.322.597.204;0.277372449319984;477.618.894.457.588;1,79E+08;9,03E+09;Phosphatidylinositol 3-kinase regulatory subunit gamma; Suppressor of cytokine signaling 2;;;;;;
MSTRG.906;111.129.930.580.391;-12.717.198.000.157;0.267988077791558;-474.543.423.907.406;2,08E+08;0.000100230613308312;Interferon regulatory factor 8 {ECO:0000305};;;;;;;
MSTRG.31453;34.578.112.956.335;316.910.123.551.336;0.67404796174606;470.159.605.156.892;2,58E+08;0.000117279503417589;Integrin beta-8 {ECO:0000305}; Integrin beta-5;;;;;;
MSTRG.17435;156.102.697.363.085;0.874242311443905;0.188859802897935;462.905.445.218.731;3,67E+08;0.000158237827692121;Integrin alpha-4;;;;;;;
MSTRG.45548;171.063.672.878.838;-0.967501012641145;0.209447237985801;-461.930.661.843.694;3,85E+07;0.000164153272858561;Homeobox protein Nkx-2.3;;;;;;;
MSTRG.5943;45.542.562.755.863;-183.467.504.384.719;0.399919817727967;-458.760.722.154.353;4,48E+07;0.000186183967367966;Somatostatin receptor type 1; C3a anaphylatoxin chemotactic receptor; Chemerin-like receptor 1 {ECO:0000303|PubMed:29279348};;;;;
MSTRG.14449;226.875.545.300.696;159.754.525.194.128;0.350159999923963;456.232.937.025.413;5,06E+08;0.000204753141870834;Thrombospondin-1;;;;;;;
MSTRG.4176;114.565.049.264.004;-143.830.181.518.659;0.322051969907965;-446.605.501.465.376;7,97E+08;0.000289718863963893;GRB2-associated-binding protein 3;;;;;;;
MSTRG.1327;162.482.295.494.778;-183.891.451.601.895;0.415339350476112;-442.749.889.677.191;9,53E+08;0.000330447339109845;C5a anaphylatoxin chemotactic receptor 1;;;;;;;
