Differential gene expression between A. amarillo (positive log2FoldChange) and A. astorquii (negative log2FoldChange) ;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;
MSTRG.29843;370.106.371.480.809;342.939.393.105.734;0.346281486345057;990.348.622.807.998;4,02E-09;1,77E-06;Serine/threonine-protein kinase WNK1 {ECO:0000305};;;;;;;;
MSTRG.48733;138.534.589.467.067;462.090.487.070.363;0.485760457637786;951.272.339.699.019;1,86E-07;5,45E-05;Tyrosine-protein kinase ABL1; Ras-related protein Rab-14;;;;;;;
MSTRG.40033;340.392.903.261.405;341.854.055.532.768;0.359724621775442;950.321.537.195.668;2,04E-07;5,79E-05;High mobility group-T protein; High mobility group protein B2;;;;;;;
MSTRG.995;249.378.678.506.357;562.311.365.203.367;0.616835708152447;911.606.377.146.368;7,79E-06;1,60E-03;Disintegrin and metalloproteinase domain-containing protein 10;;;;;;;;
MSTRG.26135;229.561.189.680.186;245.551.445.529.348;0.304107226923404;807.450.214.233.798;6,78E-02;8,33E+00;Ubiquitin carboxyl-terminal hydrolase 15; Ubiquitin carboxyl-terminal hydrolase 11;;;;;;;
MSTRG.32407;437.441.429.638.784;397.093.363.832.823;0.508944401681692;780.229.358.100.251;6,08E-01;6,57E+01;H-2 class I histocompatibility antigen, D-37 alpha chain; H-2 class I histocompatibility antigen, L-D alpha chain; Major histocompatibility complex class I-related gene protein;;;;;;
MSTRG.8000;750.690.585.142.644;314.197.341.629.644;0.435411908037674;721.609.436.557.849;5,35E+01;3,63E+03;Vesicle-associated membrane protein 8 {ECO:0000250|UniProtKB:Q9BV40};;;;;;;;
MSTRG.6232;206.788.865.550.797;307.953.297.213.696;0.428794170096825;718.184.431.341.866;6,88E+01;4,54E+03;Double-stranded RNA-specific adenosine deaminase; Double-stranded RNA-specific adenosine deaminase adr-2 {ECO:0000305};;;;;;;
MSTRG.27217;645.464.690.245.416;398.073.313.439.961;0.558292615942629;713.019.126.659.679;1,00E+02;6,49E+03;Transforming protein RhoA {ECO:0000305};;;;;;;;
MSTRG.32950;327.921.126.381.042;234.567.148.202.656;0.329012308042337;712.943.383.785.121;1,01E+02;6,50E+03;NACHT, LRR and PYD domains-containing protein 12; NACHT, LRR and PYD domains-containing protein 1a; NACHT, LRR and PYD domains-containing protein 9A; NLR family CARD domain-containing protein 3; NACHT, LRR and PYD domains-containing protein 4E; NACHT, LRR and PYD domains-containing protein 4C;;;
MSTRG.32410;167.355.317.489.599;29.720.626.625.125;0.433113049919813;686.209.446.485.796;6,79E+02;3,52E+04;H-2 class I histocompatibility antigen, Q10 alpha chain;;;;;;;;
MSTRG.3992;30.529.240.049.128;-276.227.582.956.162;0.40369081320963;-684.255.311.038.553;7,78E+02;3,99E+04;Arachidonate 5-lipoxygenase-activating protein;;;;;;;;
MSTRG.30557;389.686.132.573.362;315.111.123.297.842;0.465282385845328;677.247.050.144.281;1,27E+03;6,27E+04;H-2 class I histocompatibility antigen, K-K alpha chain;;;;;;;;
MSTRG.349;486.358.304.907.911;286.829.099.245.885;0.425079541076861;674.765.712.128.266;1,50E+03;7,28E+04;Adenylate cyclase; Adenylate cyclase type 7 {ECO:0000250|UniProtKB:P51828}; Adenylate cyclase type 7 {ECO:0000305}; Adenylyl cyclase X E {ECO:0000312|FlyBase:FBgn0040506}; Adenylate cyclase type 2;;;;
MSTRG.19616;183.799.254.602.333;300.769.483.293.729;0.447972077429123;671.402.300.384.038;1,89E+03;8,93E+04;ATP-dependent RNA helicase A {ECO:0000305}; ATP-dependent RNA helicase A protein {ECO:0000250|UniProtKB:Q08211}; ATP-dependent RNA helicase A {ECO:0000250|UniProtKB:Q08211};;;;;;
MSTRG.40412;520.351.238.183.677;398.443.603.567.791;0.600229321141108;663.818.959.744.089;3,18E+03;1,39E+05;NACHT, LRR and PYD domains-containing protein 4E;;;;;;;;
