Differential gene expression between A. astorquii (positive log2FoldChange) and A. chancho (negative log2FoldChange) from CL Apoyo;;;;;;;;;;;;;;;;;;;
gene_id;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj;annotation;;;;;;;;;;;;
MSTRG.3438;354.065.972.747.465;-381.737.990.369.754;0.544365123747403;-701.253.577.271.582;2,34E+02;5,63E+05;Transcription factor 7-like 2; Lymphoid enhancer-binding factor 1; Transcription factor 7;;;;;;;;;;
MSTRG.45548;158.126.857.707.744;24.515.303.932.089;0.381142713933955;643.205.367.329.601;1,26E+04;1,18E+07;Homeobox protein Nkx-2.3;;;;;;;;;;;;
MSTRG.995;235.938.171.400.772;-654.159.803.350.072;107.991.995.546.617;-60.574.841.685.159;1,38E+05;8,96E+06;Disintegrin and metalloproteinase domain-containing protein 10;;;;;;;;;;;;
MSTRG.45199;170.819.731.380.532;-196.771.175.102.725;0.328428943201291;-59.912.860.658.607;2,08E+05;1,10E+08;DDB1- and CUL4-associated factor 1 {ECO:0000312|HGNC:HGNC:30911}; DDB1- and CUL4-associated factor 1 {ECO:0000250|UniProtKB:Q9Y4B6};;;;;;;;;;;
MSTRG.15275;504.491.704.189.326;-247.989.849.318.037;0.414575882326949;-598.177.221.323.414;2,21E+05;1,13E+08;B-cell lymphoma/leukemia 11B;;;;;;;;;;;;
MSTRG.27546;139.049.794.668.265;-255.581.741.700.797;0.435595906497206;-586.740.458.045.227;4,43E+05;1,62E+06;Tumor necrosis factor receptor superfamily member 1A; Tumor necrosis factor receptor superfamily member 23; Tumor necrosis factor receptor superfamily member 1B;;;;;;;;;;
MSTRG.25474;265.342.223.804.552;-592.474.284.073.166;103.121.130.182.392;-574.542.077.870.216;9,17E+05;2,66E+08;ETS-related transcription factor Elf-4;;;;;;;;;;;;
MSTRG.48545;84.259.589.277.698;211.007.859.248.861;0.367901004598978;573.545.210.834.271;9,73E+05;2,76E+08;Mothers against decapentaplegic homolog 7;;;;;;;;;;;;
MSTRG.6416;510.688.720.971.857;142.118.523.380.267;0.249970477816924;568.541.231.834.396;1,30E+06;3,38E+08;Tyrosine-protein phosphatase non-receptor type 6;;;;;;;;;;;;
MSTRG.13421;240.720.504.600.754;349.499.828.690.188;0.626338498809537;55.800.470.409.287;2,40E+06;5,40E+08;High affinity immunoglobulin gamma Fc receptor I; High affinity immunoglobulin epsilon receptor subunit alpha; Fc receptor-like protein 4;;;;;;;;;;
MSTRG.23423;30.802.809.807.581;-26.638.928.654.999;0.479291082063894;-555.798.546.058.652;2,73E+06;5,90E+07;;;;;;;;;;;;;
MSTRG.55931;12.332.015.990.325;-780.794.936.737.037;140.832.226.204.783;-55.441.496.437.164;2,95E+06;6,22E+07;Transposable element Tc3 transposase; E3 ubiquitin-protein ligase TRIM41 {ECO:0000305}; NACHT, LRR and PYD domains-containing protein 12; NLR family CARD domain-containing protein 3; Tripartite motif-containing protein 16-like protein;;;;;;;;
MSTRG.6135;186.343.090.416.671;-457.883.529.079.529;0.830465928205295;-551.357.392.914.424;3,52E+06;6,93E+08;Probable nuclear hormone receptor HR38; Nuclear receptor subfamily 4 group A member 3;;;;;;;;;;;
MSTRG.29843;406.985.920.015.363;-445.871.816.209.006;0.808846685213988;-551.243.918.482.582;3,54E+06;6,93E+08;Serine/threonine-protein kinase WNK1 {ECO:0000305};;;;;;;;;;;;
